areaCode,areaName,areaType,date,age,deaths,rollingSum,rollingRate
E92000001,England,nation,2021-03-17,65_69,7.0,45.0,1.6
E92000001,England,nation,2021-03-17,70_74,7.0,70.0,2.5
E92000001,England,nation,2021-03-17,75_79,6.0,67.0,3.5
E92000001,England,nation,2021-03-17,80_84,13.0,89.0,6.2
E92000001,England,nation,2021-03-17,85_89,12.0,118.0,13.4
E92000001,England,nation,2021-03-17,90+,10.0,96.0,18.6
E92000001,England,nation,2021-03-16,00_04,0.0,0.0,0.0
E92000001,England,nation,2021-03-16,00_59,3.0,65.0,0.2
E92000001,England,nation,2021-03-16,05_09,0.0,0.0,0.0
E92000001,England,nation,2021-03-16,10_14,0.0,0.0,0.0
E92000001,England,nation,2021-03-16,15_19,0.0,0.0,0.0
E92000001,England,nation,2021-03-16,20_24,0.0,1.0,0.0
E92000001,England,nation,2021-03-16,25_29,0.0,0.0,0.0
E92000001,England,nation,2021-03-16,30_34,0.0,0.0,0.0
E92000001,England,nation,2021-03-16,35_39,0.0,2.0,0.1
E92000001,England,nation,2021-03-16,40_44,2.0,2.0,0.1
E92000001,England,nation,2021-03-16,45_49,0.0,12.0,0.3
E92000001,England,nation,2021-03-16,50_54,0.0,12.0,0.3
E92000001,England,nation,2021-03-16,55_59,1.0,36.0,1.0
E92000001,England,nation,2021-03-16,60+,64.0,544.0,4.0
E92000001,England,nation,2021-03-16,60_64,2.0,33.0,1.1
E92000001,England,nation,2021-03-16,65_69,4.0,51.0,1.8
E92000001,England,nation,2021-03-16,70_74,4.0,74.0,2.7
E92000001,England,nation,2021-03-16,75_79,11.0,71.0,3.7
E92000001,England,nation,2021-03-16,80_84,17.0,93.0,6.5
E92000001,England,nation,2021-03-16,85_89,15.0,124.0,14.1
E92000001,England,nation,2021-03-16,90+,11.0,98.0,18.9
E92000001,England,nation,2021-03-15,00_04,0.0,0.0,0.0
E92000001,England,nation,2021-03-15,00_59,7.0,73.0,0.2
E92000001,England,nation,2021-03-15,05_09,0.0,0.0,0.0
E92000001,England,nation,2021-03-15,10_14,0.0,0.0,0.0
E92000001,England,nation,2021-03-15,15_19,0.0,0.0,0.0
E92000001,England,nation,2021-03-15,20_24,0.0,1.0,0.0
E92000001,England,nation,2021-03-15,25_29,0.0,0.0,0.0
E92000001,England,nation,2021-03-15,30_34,0.0,0.0,0.0
E92000001,England,nation,2021-03-15,35_39,0.0,2.0,0.1
E92000001,England,nation,2021-03-15,40_44,0.0,1.0,0.0
E92000001,England,nation,2021-03-15,45_49,2.0,12.0,0.3
E92000001,England,nation,2021-03-15,50_54,3.0,13.0,0.3
E92000001,England,nation,2021-03-15,55_59,2.0,44.0,1.2
E92000001,England,nation,2021-03-15,60+,76.0,583.0,4.3
E92000001,England,nation,2021-03-15,60_64,9.0,34.0,1.1
E92000001,England,nation,2021-03-15,65_69,3.0,59.0,2.1
E92000001,England,nation,2021-03-15,70_74,9.0,87.0,3.1
E92000001,England,nation,2021-03-15,75_79,8.0,74.0,3.8
E92000001,England,nation,2021-03-15,80_84,13.0,91.0,6.3
E92000001,England,nation,2021-03-15,85_89,18.0,134.0,15.2
E92000001,England,nation,2021-03-15,90+,16.0,104.0,20.1
E92000001,England,nation,2021-03-14,00_04,0.0,0.0,0.0
E92000001,England,nation,2021-03-14,00_59,10.0,87.0,0.2
E92000001,England,nation,2021-03-14,05_09,0.0,0.0,0.0
E92000001,England,nation,2021-03-14,10_14,0.0,0.0,0.0
E92000001,England,nation,2021-03-14,15_19,0.0,0.0,0.0
E92000001,England,nation,2021-03-14,20_24,1.0,1.0,0.0
E92000001,England,nation,2021-03-14,25_29,0.0,0.0,0.0
E92000001,England,nation,2021-03-14,30_34,0.0,0.0,0.0
E92000001,England,nation,2021-03-14,35_39,1.0,3.0,0.1
E92000001,England,nation,2021-03-14,40_44,0.0,2.0,0.1
E92000001,England,nation,2021-03-14,45_49,1.0,13.0,0.3
E92000001,England,nation,2021-03-14,50_54,1.0,17.0,0.4
E92000001,England,nation,2021-03-14,55_59,6.0,51.0,1.4
E92000001,England,nation,2021-03-14,60+,69.0,606.0,4.5
E92000001,England,nation,2021-03-14,60_64,3.0,33.0,1.1
E92000001,England,nation,2021-03-14,65_69,10.0,63.0,2.3
E92000001,England,nation,2021-03-14,70_74,12.0,94.0,3.4
E92000001,England,nation,2021-03-14,75_79,9.0,78.0,4.0
E92000001,England,nation,2021-03-14,80_84,9.0,91.0,6.3
E92000001,England,nation,2021-03-14,85_89,15.0,139.0,15.8
E92000001,England,nation,2021-03-14,90+,11.0,108.0,20.9
E92000001,England,nation,2021-03-13,00_04,0.0,0.0,0.0
E92000001,England,nation,2021-03-13,00_59,8.0,95.0,0.2
E92000001,England,nation,2021-03-13,05_09,0.0,0.0,0.0
E92000001,England,nation,2021-03-13,10_14,0.0,0.0,0.0
E92000001,England,nation,2021-03-13,15_19,0.0,0.0,0.0
