areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2021-07-25,75_79,163,1525,75.9
E92000001,England,nation,2021-07-25,80_84,112,1001,69.1
E92000001,England,nation,2021-07-25,85_89,69,599,67.7
E92000001,England,nation,2021-07-25,90+,35,372,71.4
E92000001,England,nation,2021-07-25,unassigned,9,100,
E92000001,England,nation,2021-07-24,00_04,464,4612,142.4
E92000001,England,nation,2021-07-24,00_59,18253,196314,457.7
E92000001,England,nation,2021-07-24,05_09,1059,10592,299.3
E92000001,England,nation,2021-07-24,10_14,2098,22082,642.7
E92000001,England,nation,2021-07-24,15_19,2546,24042,771.6
E92000001,England,nation,2021-07-24,20_24,2371,25095,722.7
E92000001,England,nation,2021-07-24,25_29,2047,24729,655.7
E92000001,England,nation,2021-07-24,30_34,1850,22020,575.7
E92000001,England,nation,2021-07-24,35_39,1519,17228,460.9
E92000001,England,nation,2021-07-24,40_44,1382,14167,407.5
E92000001,England,nation,2021-07-24,45_49,1152,12118,333.0
E92000001,England,nation,2021-07-24,50_54,955,11055,285.3
E92000001,England,nation,2021-07-24,55_59,810,8574,227.9
E92000001,England,nation,2021-07-24,60+,1532,15142,110.8
E92000001,England,nation,2021-07-24,60_64,524,5559,173.9
E92000001,England,nation,2021-07-24,65_69,341,3483,125.1
E92000001,England,nation,2021-07-24,70_74,275,2533,90.0
E92000001,England,nation,2021-07-24,75_79,176,1563,77.8
E92000001,England,nation,2021-07-24,80_84,111,1015,70.0
E92000001,England,nation,2021-07-24,85_89,58,597,67.4
E92000001,England,nation,2021-07-24,90+,47,392,75.2
E92000001,England,nation,2021-07-24,unassigned,4,97,
E92000001,England,nation,2021-07-23,00_04,571,4762,147.0
E92000001,England,nation,2021-07-23,00_59,21998,210376,490.5
E92000001,England,nation,2021-07-23,05_09,1180,10986,310.4
E92000001,England,nation,2021-07-23,10_14,2419,23068,671.4
E92000001,England,nation,2021-07-23,15_19,2879,25813,828.4
E92000001,England,nation,2021-07-23,20_24,2790,27357,787.8
E92000001,England,nation,2021-07-23,25_29,2540,27298,723.8
E92000001,England,nation,2021-07-23,30_34,2459,23825,622.9
E92000001,England,nation,2021-07-23,35_39,1970,18532,495.7
E92000001,England,nation,2021-07-23,40_44,1604,14967,430.5
E92000001,England,nation,2021-07-23,45_49,1305,12862,353.5
E92000001,England,nation,2021-07-23,50_54,1257,11831,305.3
E92000001,England,nation,2021-07-23,55_59,1024,9075,241.2
E92000001,England,nation,2021-07-23,60+,1918,15875,116.2
E92000001,England,nation,2021-07-23,60_64,685,5878,183.9
E92000001,England,nation,2021-07-23,65_69,441,3662,131.5
E92000001,England,nation,2021-07-23,70_74,298,2653,94.3
E92000001,England,nation,2021-07-23,75_79,193,1617,80.4
E92000001,England,nation,2021-07-23,80_84,134,1047,72.2
E92000001,England,nation,2021-07-23,85_89,104,619,69.9
E92000001,England,nation,2021-07-23,90+,63,399,76.6
E92000001,England,nation,2021-07-23,unassigned,13,99,
E92000001,England,nation,2021-07-22,00_04,642,4980,153.7
E92000001,England,nation,2021-07-22,00_59,25000,235628,549.4
E92000001,England,nation,2021-07-22,05_09,1397,11809,333.6
E92000001,England,nation,2021-07-22,10_14,2699,24531,714.0
E92000001,England,nation,2021-07-22,15_19,2973,29321,941.0
E92000001,England,nation,2021-07-22,20_24,3110,32240,928.4
E92000001,England,nation,2021-07-22,25_29,3181,32072,850.4
E92000001,England,nation,2021-07-22,30_34,2872,26972,705.2
E92000001,England,nation,2021-07-22,35_39,2202,20606,551.2
E92000001,England,nation,2021-07-22,40_44,1912,16381,471.2
E92000001,England,nation,2021-07-22,45_49,1553,14077,386.9
E92000001,England,nation,2021-07-22,50_54,1408,12861,331.9
E92000001,England,nation,2021-07-22,55_59,1051,9778,259.9
E92000001,England,nation,2021-07-22,60+,2010,16749,122.6
E92000001,England,nation,2021-07-22,60_64,751,6314,197.5
E92000001,England,nation,2021-07-22,65_69,476,3847,138.2
E92000001,England,nation,2021-07-22,70_74,322,2828,100.5
E92000001,England,nation,2021-07-22,75_79,198,1700,84.6
E92000001,England,nation,2021-07-22,80_84,138,1054,72.7
E92000001,England,nation,2021-07-22,85_89,80,612,69.1
E92000001,England,nation,2021-07-22,90+,45,394,75.6
E92000001,England,nation,2021-07-22,unassigned,20,110,
E92000001,England,nation,2021-07-21,00_04,742,5198,160.5
E92000001,England,nation,2021-07-21,00_59,28712,264227,616.1
E92000001,England,nation,2021-07-21,05_09,1545,12475,352.5
E92000001,England,nation,2021-07-21,10_14,3235,26025,757.5
E92000001,England,nation,2021-07-21,15_19,3384,33747,1083.1
E92000001,England,nation,2021-07-21,20_24,3579,38119,1097.7
E92000001,England,nation,2021-07-21,25_29,3600,37650,998.3
E92000001,England,nation,2021-07-21,30_34,3303,30624,800.7
E92000001,England,nation,2021-07-21,35_39,2607,22910,612.9
E92000001,England,nation,2021-07-21,40_44,2112,17841,513.2
E92000001,England,nation,2021-07-21,45_49,1759,15245,419.0
E92000001,England,nation,2021-07-21,50_54,1634,13769,355.3
E92000001,England,nation,2021-07-21,55_59,1212,10624,282.4
E92000001,England,nation,2021-07-21,60+,2227,17394,127.3
E92000001,England,nation,2021-07-21,60_64,769,6644,207.8
E92000001,England,nation,2021-07-21,65_69,523,3990,143.3
E92000001,England,nation,2021-07-21,70_74,428,2932,104.2
E92000001,England,nation,2021-07-21,75_79,225,1731,86.1
E92000001,England,nation,2021-07-21,80_84,142,1085,74.9
E92000001,England,nation,2021-07-21,85_89,97,613,69.2
E92000001,England,nation,2021-07-21,90+,43,399,76.6
E92000001,England,nation,2021-07-21,unassigned,12,110,
E92000001,England,nation,2021-07-20,00_04,755,5206,160.7
E92000001,England,nation,2021-07-20,00_59,32593,282290,658.2
E92000001,England,nation,2021-07-20,05_09,1818,12953,366.0
E92000001,England,nation,2021-07-20,10_14,3668,26921,783.6
E92000001,England,nation,2021-07-20,15_19,3767,36862,1183.0
E92000001,England,nation,2021-07-20,20_24,4135,42315,1218.6
E92000001,England,nation,2021-07-20,25_29,4220,41340,1096.1
E92000001,England,nation,2021-07-20,30_34,3817,32738,856.0
E92000001,England,nation,2021-07-20,35_39,2883,24148,646.0
E92000001,England,nation,2021-07-20,40_44,2244,18819,541.4
E92000001,England,nation,2021-07-20,45_49,2026,15901,437.0
E92000001,England,nation,2021-07-20,50_54,1830,14166,365.5
E92000001,England,nation,2021-07-20,55_59,1430,10921,290.3
E92000001,England,nation,2021-07-20,60+,2445,17574,128.6
E92000001,England,nation,2021-07-20,60_64,889,6857,214.5
E92000001,England,nation,2021-07-20,65_69,560,4023,144.5
E92000001,England,nation,2021-07-20,70_74,405,2901,103.1
E92000001,England,nation,2021-07-20,75_79,263,1727,85.9
E92000001,England,nation,2021-07-20,80_84,169,1081,74.6
E92000001,England,nation,2021-07-20,85_89,93,581,65.6
E92000001,England,nation,2021-07-20,90+,66,404,77.5
E92000001,England,nation,2021-07-20,unassigned,24,122,
E92000001,England,nation,2021-07-19,00_04,848,5188,160.2
E92000001,England,nation,2021-07-19,00_59,39437,289898,675.9
E92000001,England,nation,2021-07-19,05_09,2176,13128,370.9
E92000001,England,nation,2021-07-19,10_14,4346,27163,790.6
E92000001,England,nation,2021-07-19,15_19,4583,38571,1237.9
E92000001,England,nation,2021-07-19,20_24,5079,44759,1288.9
E92000001,England,nation,2021-07-19,25_29,5151,42981,1139.6
E92000001,England,nation,2021-07-19,30_34,4461,33318,871.1
E92000001,England,nation,2021-07-19,35_39,3519,24603,658.1
E92000001,England,nation,2021-07-19,40_44,2769,19189,552.0
E92000001,England,nation,2021-07-19,45_49,2474,16020,440.3
E92000001,England,nation,2021-07-19,50_54,2255,14198,366.4
E92000001,England,nation,2021-07-19,55_59,1776,10780,286.6
E92000001,England,nation,2021-07-19,60+,2902,17168,125.7
E92000001,England,nation,2021-07-19,60_64,1103,6766,211.6
E92000001,England,nation,2021-07-19,65_69,663,3928,141.1
E92000001,England,nation,2021-07-19,70_74,463,2817,100.1
E92000001,England,nation,2021-07-19,75_79,307,1678,83.5
E92000001,England,nation,2021-07-19,80_84,195,1018,70.2
E92000001,England,nation,2021-07-19,85_89,98,569,64.3
E92000001,England,nation,2021-07-19,90+,73,392,75.2
E92000001,England,nation,2021-07-19,unassigned,18,132,
E92000001,England,nation,2021-07-18,00_04,590,5107,157.7
E92000001,England,nation,2021-07-18,00_59,30321,287852,671.2
E92000001,England,nation,2021-07-18,05_09,1417,13078,369.5
E92000001,England,nation,2021-07-18,10_14,3617,27143,790.1
E92000001,England,nation,2021-07-18,15_19,3910,39131,1255.9
E92000001,England,nation,2021-07-18,20_24,4031,45097,1298.7
E92000001,England,nation,2021-07-18,25_29,3990,42515,1127.3
E92000001,England,nation,2021-07-18,30_34,3258,32716,855.4
E92000001,England,nation,2021-07-18,35_39,2528,24164,646.4
E92000001,England,nation,2021-07-18,40_44,2144,19012,546.9
E92000001,England,nation,2021-07-18,45_49,1849,15616,429.2
E92000001,England,nation,2021-07-18,50_54,1716,13850,357.4
E92000001,England,nation,2021-07-18,55_59,1271,10423,277.1
E92000001,England,nation,2021-07-18,60+,2108,16435,120.3
E92000001,England,nation,2021-07-18,60_64,838,6495,203.2
E92000001,England,nation,2021-07-18,65_69,479,3743,134.4
E92000001,England,nation,2021-07-18,70_74,342,2719,96.6
E92000001,England,nation,2021-07-18,75_79,201,1604,79.8
E92000001,England,nation,2021-07-18,80_84,126,954,65.8
E92000001,England,nation,2021-07-18,85_89,67,553,62.5
E92000001,England,nation,2021-07-18,90+,55,367,70.4
E92000001,England,nation,2021-07-18,unassigned,6,138,
E92000001,England,nation,2021-07-17,00_04,614,4996,154.2
E92000001,England,nation,2021-07-17,00_59,32315,282974,659.8
E92000001,England,nation,2021-07-17,05_09,1453,13034,368.2
E92000001,England,nation,2021-07-17,10_14,3084,26662,776.1
E92000001,England,nation,2021-07-17,15_19,4317,38755,1243.8
E92000001,England,nation,2021-07-17,20_24,4633,44517,1282.0
E92000001,England,nation,2021-07-17,25_29,4616,41604,1103.1
E92000001,England,nation,2021-07-17,30_34,3655,32127,840.0
E92000001,England,nation,2021-07-17,35_39,2823,23773,635.9
E92000001,England,nation,2021-07-17,40_44,2182,18624,535.7
E92000001,England,nation,2021-07-17,45_49,1896,15241,418.9
E92000001,England,nation,2021-07-17,50_54,1731,13483,347.9
E92000001,England,nation,2021-07-17,55_59,1311,10158,270.0
E92000001,England,nation,2021-07-17,60+,2265,15775,115.5
E92000001,England,nation,2021-07-17,60_64,843,6245,195.4
E92000001,England,nation,2021-07-17,65_69,520,3607,129.5
E92000001,England,nation,2021-07-17,70_74,395,2610,92.7
E92000001,England,nation,2021-07-17,75_79,230,1539,76.6
E92000001,England,nation,2021-07-17,80_84,143,915,63.1
E92000001,England,nation,2021-07-17,85_89,80,527,59.5
E92000001,England,nation,2021-07-17,90+,54,332,63.7
E92000001,England,nation,2021-07-17,unassigned,6,143,
E92000001,England,nation,2021-07-16,00_04,789,4835,149.3
E92000001,England,nation,2021-07-16,00_59,47250,274126,639.1
E92000001,England,nation,2021-07-16,05_09,2003,12937,365.5
E92000001,England,nation,2021-07-16,10_14,3882,26322,766.2
E92000001,England,nation,2021-07-16,15_19,6387,37606,1206.9
E92000001,England,nation,2021-07-16,20_24,7673,43200,1244.1
